ID Productor,ID cuadrante,Tiempo de riego Dia,Tiempo riego semana,Tiempo riego mes,Duración ciclo,Tiempo riego ciclo,Fuente,Consumo galones,Q_m3s,Qt_mes,Qt_ciclo
C18_1,18,24,168,720,3,2160,2,360,0.015646167,40554,121664.595
C18_2,18,24,168,720,3,2160,2,360,0.015646167,40554,121664.595
C18_3,18,2,13.6,60,3,180,2,360,0.009164373,1979.5,5938.5137
C18_4,18,0,0,0,3,0,1,360,0,0,0
C18_5,18,24,168,720,3,2160,2,360,0.009164373,23754.1,71262.1644
C18_6,18,16,112,480,3,1440,2,360,0.009164373,15836,47508.1096
C18_7,18,12,84,360,3,1080,2,360,0.009164373,11877,35631.0822
C18_8,18,4,28,120,3,360,2,360,0.009164373,3959.01,11877.0274
C18_9,18,2.5,17.5,75,3,225,2,360,0.01611626,4351.39,13054.1706
C18_10,18,2,14,60,3,180,3,360,0.009164373,1979.5,5938.5137
C18_11,18,0,0,0,3,0,1,360,0,0,0
C18_12,18,0,0,0,3,0,1,360,0,0,0
C18_13,18,0,0,0,3,0,1,360,0,0,0
C18_14,18,0,0,0,3,0,1,360,0,0,0
C18_15,18,24,168,720,3,2160,2,360,0.009164373,23754.1,71262.1644
C18_16,18,0,0,0,3,0,1,360,0,0,0
C18_17,18,0,0,0,3,0,1,360,0,0,0
C18_18,18,0,0,0,3,0,1,360,0,0,0
C18_19,18,0,0,0,3,0,1,360,0,0,0
C18_20,18,24,168,720,3,2160,2,360,0.009164373,23754.1,71262.1644
C18_21,18,0,0,0,3,0,1,360,0,0,0
C18_22,18,0,0,0,3,0,1,360,0,0,0
C18_23,18,0,0,0,3,0,1,360,0,0,0
C18_24,18,0,0,0,3,0,1,360,0,0,0
C18_25,18,0,0,0,3,0,1,360,0,0,0
C18_26,18,0,0,0,3,0,1,360,0,0,0
C163_1,163,3,21,90,3,270,2,360,0.001,324,972
C163_2,163,5,35,150,3,450,2,360,0.001,540,1620
C163_3,163,2,14,60,3,180,2,360,0.001,216,648
C163_4,163,1.5,10.5,45,3,135,2,360,0.001,162,486
C163_5,163,3.2,22.4,96,3,288,2,360,0.001,345.6,1036.8
C163_6,163,3.2,22.4,96,3,288,2,360,0.001,345.6,1036.8
C163_7,163,16,112,480,3,1440,2.3,360,0.001,1728,5184
C172_1,172,3,21,90,3,270,2,360,0.001,324,972
C172_2,172,2,14,60,3,180,2,360,0.001,216,648
C143_1,143,8,56,240,3,720,2,360,0.001,864,2592
C143_2,143,8,56,240,3,720,4,360,0.001,864,2592
C143_3,143,8,56,240,3,720,2,360,0.001,864,2592
C143_4,143,2,14,60,3,180,2,360,0.001,216,648
C143_5,143,8,56,240,3,720,3,360,0.001,864,2592
C143_6,143,8,56,240,3,720,3,360,0.001,864,2592
C143_7,143,8,56,240,3,720,2,360,0.001,864,2592
C143_8,143,8,56,240,3,720,2,360,0.001,864,2592
C143_9,143,8,56,240,3,720,3,360,0.001,864,2592
C143_10,143,8,56,240,3,720,2,360,0.001,864,2592
C143_11,143,8,56,240,3,720,2,360,0.001,864,2592
C154_1,154,8,56,240,3,720,2,360,0.001,864,2592
C154_2,154,8,56,240,3,720,2,360,0.001,864,2592
C154_3,154,1.26,8.82,37.8,3,113.4,2,360,0.001,136.08,408.24
C154_4,154,2,14,60,3,180,2,360,0.001,216,648
C154_5,154,1,7,30,3,90,2,360,0.001,108,324
C154_6,154,4,28,120,3,360,2,360,0.001,432,1296
C154_7,154,1,7,30,3,90,2,360,0.001,108,324
C154_8,154,1,7,30,3,90,2,360,0.001,108,324
C154_9,154,4,28,120,3,360,2,360,0.001,432,1296
C154_10,154,4,28,120,3,360,2,360,0.001,432,1296
C154_11,154,1.5,10.5,45,3,135,2,360,0.001,162,486
C154_12,154,1.5,10.5,45,3,135,2,360,0.001,162,486
C154_13,154,1.5,10.5,45,3,135,2,360,0.001,162,486
C154_14,154,0.5,3.5,15,3,45,2,360,0.001,54,162
C154_15,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_16,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_17,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_18,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_19,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_20,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_21,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_22,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_23,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_24,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_25,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_26,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_27,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_28,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_29,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_30,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_31,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_32,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_33,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_34,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_35,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_36,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C154_37,154,1.33,9.31,39.9,3,119.7,2,360,0.001,143.64,430.92
C149_1,149,4,28,120,3,360,2,360,0.001,432,1296
C149_2,149,2,14,60,3,180,2,360,0.001,216,648
C149_3,149,3,21,90,3,270,2,360,0.001,324,972
C149_4,149,3,21,90,3,270,2,360,0.001,324,972
C149_5,149,6,42,180,3,540,2,360,0.001,648,1944
C149_6,149,3,21,90,3,270,2,360,0.001,324,972
C149_7,149,3,21,90,3,270,2,360,0.001,324,972
C149_8,149,3,21,90,3,270,2,360,0.001,324,972
C149_9,149,3,21,90,3,270,2,360,0.001,324,972
C149_10,149,3,21,90,3,270,2,360,0.001,324,972
C159_1,159,24,168,720,3,2160,2,360,0.001,2592,7776
C159_2,159,24,168,720,3,2160,2,360,0.001,2592,7776
C159_3,159,1.5,10.5,45,3,135,2,360,0.001,162,486
C159_4,159,24,168,720,3,2160,2,360,0.001,2592,7776
C159_5,159,24,168,720,3,2160,2,360,0.001,2592,7776
C159_6,159,24,168,720,3,2160,2,360,0.001,2592,7776
C159_7,159,24,168,720,3,2160,2,360,0.001,2592,7776
C159_8,159,24,168,720,3,2160,2,360,0.001,2592,7776
C159_9,159,24,168,720,3,2160,2,360,0.001,2592,7776
C159_10,159,24,168,720,3,2160,2,360,0.001,2592,7776
C159_11,159,24,168,720,3,2160,2,360,0.001,2592,7776
